disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
COVID-19	GA	13	Georgia	0.448875073863044	1.20225812238962	1.95564117091619	2.70902421944277
RSV	GA	13	Georgia	0.0464097808652688	0.228273481893565	0.410137182921861	0.592000883950157
ARI	GA	13	Georgia	8.78163783501836	12.0715811692079	15.3615245033975	18.651467837587
Influenza	GU	66	Guam	1.36987145456657	2.3958246435565	3.42177783254644	4.44773102153638
COVID-19	GU	66	Guam	1.70022224239727	4.32394716960283	6.94767209680839	9.57139702401395
RSV	GU	66	Guam	0.0434653845684039	0.264617599911222	0.48576981525404	0.706922030596857
ARI	GU	66	Guam	14.7132748188422	17.539021154782102	20.3647674907219	23.1905138266618
Influenza	HI	15	Hawaii	1.20634438328273	2.05152708478552	2.89670978628831	3.7418924877911
COVID-19	HI	15	Hawaii	1.3848702406628	2.95422375691452	4.52357727316624	6.09293078941796
RSV	HI	15	Hawaii	0.0691583103604069	0.454787996872479	0.840417683384552	1.22604736989662
ARI	HI	15	Hawaii	15.8733762946673	17.6805026947188	19.4876290947704	21.2947554948219
Influenza	IA	19	Iowa	0.310883509962675	2.24681588824838	4.18274826653409	6.1186806448198
COVID-19	IA	19	Iowa	0.705216900119656	1.94461409079116	3.18401128146266	4.42340847213416
RSV	IA	19	Iowa	0.114465550559083	0.617363744292784	1.12026193802648	1.62316013176018
ARI	IA	19	Iowa	11.3216203348727	15.2047392453378	19.0878581558028	22.9709770662679
Influenza	ID	16	Idaho	0.173518705997438	2.21977276605722	4.266026826117	6.31228088617678
COVID-19	ID	16	Idaho	0.517549129078217	1.88616706393311	3.254784998788	4.62340293364289
RSV	ID	16	Idaho	0.0452887440033941	0.789012847272541	1.53273695054169	2.27646105381083
ARI	ID	16	Idaho	9.26000256906029	13.2441844464682	17.2283663238762	21.2125482012841
Influenza	IL	17	Illinois	0.219024609883691	2.67487242237358	5.13072023486347	7.58656804735336
COVID-19	IL	17	Illinois	0.629502061203994	1.64890993897819	2.66831781675239	3.68772569452659
RSV	IL	17	Illinois	0.0807410991366061	0.56458990601095	1.04843871288529	1.53228751975964
ARI	IL	17	Illinois	9.85408533909644	14.0655294261757	18.276973513255	22.4884176003343
Influenza	IN	18	Indiana	0.190640113402513	2.95231071385513	5.71398131430775	8.47565191476036
COVID-19	IN	18	Indiana	0.439965735656953	1.72767209988354	3.01537846411012	4.3030848283367
RSV	IN	18	Indiana	0.0737012308096612	0.468568107412954	0.863434984016248	1.25830186061954
ARI	IN	18	Indiana	9.89493187733481	15.2034842359254	20.512036594516	25.8205889531065
Influenza	KS	20	Kansas	0.160408294434422	2.10476923765141	4.0491301808684	5.99349112408539
COVID-19	KS	20	Kansas	0.355420758935411	1.55048130444068	2.74554184994595	3.94060239545123
RSV	KS	20	Kansas	0.0500403520982661	0.435440231919359	0.820840111740451	1.20623999156154
ARI	KS	20	Kansas	9.38425870686798	14.0270751464575	18.6698915860469	23.3127080256364
Influenza	KY	21	Kentucky	0.269116155766922	3.49935688483254	6.72959761389816	9.95983834296378
COVID-19	KY	21	Kentucky	0.909576325747603	2.17315690355804	3.43673748136848	4.70031805917892
RSV	KY	21	Kentucky	0.068022259600647	0.560698318234278	1.05337437686791	1.54605043550154
ARI	KY	21	Kentucky	12.0384252216093	16.629820375167	21.2212155287246	25.8126106822823
Influenza	LA	22	Louisiana	0.525503676488859	2.92567479862962	5.32584592077039	7.72601704291115
COVID-19	LA	22	Louisiana	0.654250121285289	2.6066092423007	4.55896836331611	6.51132748433152
RSV	LA	22	Louisiana	0.0510041480553787	0.446905958630119	0.842807769204859	1.2387095797796
