disease	state_abb	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
ARI	AK	13.31949803	16.75492085	20.19034367	23.62576649
ARI	AL	13.50321124	17.77947331	22.05573537	26.33199744
ARI	AR	9.866131817	12.92218338	15.97823495	19.03428651
ARI	AZ	11.73522606	15.51422743	19.29322881	23.07223018
ARI	CA	10.8647783	14.8753998	18.8860213	22.8966428
ARI	CO	12.72947784	16.86642492	21.003372	25.14031908
ARI	CT	13.66260081	17.67202664	21.68145248	25.69087832
ARI	DC	12.58505801	16.18427813	19.783498259999998	23.38271838
ARI	DE	11.26277979	14.66101422	18.05924864	21.45748307
ARI	FL	14.47292707	16.66038155	18.84783604	21.03529052
ARI	GA	10.18992735	13.1277983	16.06566926	19.00354022
ARI	GU	16.420274	18.80169199	21.18310997	23.56452796
ARI	HI	15.90970357	17.80652617	19.70334878	21.60017138
ARI	IA	12.4735595	16.06632195	19.6590844	23.25184685
ARI	ID	10.01414108	13.80978833	17.60543558	21.40108283
ARI	IL	11.21889954	15.09056904	18.96223854	22.83390803
ARI	IN	12.0092066	16.78117754	21.55314849	26.32511943
ARI	KS	11.04416449	15.27174718	19.49932987	23.72691256
ARI	KY	14.0167834	18.64522743	23.27367146	27.90211548
ARI	LA	11.73233829	15.17020654	18.60807479	22.04594304
ARI	MA	11.06326312	14.2151985	17.36713388	20.51906927
ARI	MD	10.05468504	13.49154208	16.92839912	20.36525616
ARI	ME	11.65820209	15.50852075	19.3588394	23.20915806
ARI	MI	10.60084111	14.37200491	18.14316871	21.91433251
ARI	MN	11.24263447	15.58843234	19.93423022	24.28002809
ARI	MO	11.02341007	14.470876670000001	17.91834327	21.36580986
ARI	MS	13.215803	16.93800531	20.66020762	24.38240993
ARI	MT	10.4552711	14.13616769	17.81706427	21.49796086
ARI	NC	14.13153192	18.81878627	23.50604062	28.19329496
ARI	ND	9.396375839	13.87013609	18.34389633	22.81765658
ARI	NE	8.823435745	12.04327291	15.26311007	18.48294723
ARI	NH	9.96412931	13.51282718	17.06152505	20.610222919999998
ARI	NJ	10.22102036	13.43992063	16.65882091	19.87772118
ARI	NM	14.54248375	19.78696851	25.03145327	30.27593803
ARI	NV	12.47842116	16.82353146	21.16864175	25.51375205
ARI	NY	9.629857571	12.74212366	15.85438975	18.96665584
ARI	US	11.48677128	14.58993829	17.6931053	20.7962723
ARI	OH	10.69496011	14.25514458	17.81532904	21.37551351
ARI	OK	11.00170105	16.07519943	21.14869781	26.22219618
ARI	OR	10.31385117	14.47512097	18.63639077	22.79766058
ARI	PA	8.780632867	11.70161978	14.6226067	17.54359362
ARI	RI	9.156546772	12.09822697	15.03990718	17.98158738
ARI	SC	13.29882211	17.70905938	22.11929665	26.52953392
ARI	SD	8.676123344	12.15678667	15.63745	19.11811333
ARI	TN	12.80361384	16.51449894	20.22538403	23.93626912
ARI	TX	13.1543572	16.60038076	20.04640431	23.49242786
ARI	UT	11.06579131	15.04587849	19.02596568	23.00605286
ARI	VA	13.85796398	18.04825309	22.23854219	26.4288313
ARI	VT	12.15206085	15.99350638	19.83495192	23.67639745
ARI	WA	12.4922122	17.4663822	22.44055219	27.41472219
ARI	WI	12.12325394	16.04600025	19.96874655	23.89149286
ARI	WV	13.18273084	17.30580393	21.42887702	25.55195012
ARI	WY	10.49508034	14.32657639	18.15807245	21.9895685
COVID-19	AK	0.782462448	2.362350899	3.942239349	5.5221278
COVID-19	AL	0.64063796	2.40593344	4.171228919	5.936524399
COVID-19	AR	0.370906878	1.342115973	2.313325069	3.284534164
COVID-19	AZ	0.707588675	2.061961925	3.416335174	4.770708424
COVID-19	CA	0.510495831	1.700742195	2.890988559	4.081234922
COVID-19	CO	0.593348836	1.667033425	2.740718014	3.814402604
COVID-19	CT	0.529087605	1.762176864	2.995266122	4.228355381
