.draw	date	hosp	location
177	2023-11-09	0	NM
177	2023-11-10	0	NM
177	2023-11-11	0	NM
177	2023-11-12	1	NM
177	2023-11-13	0	NM
177	2023-11-14	0	NM
177	2023-11-15	3	NM
177	2023-11-16	2	NM
177	2023-11-17	0	NM
177	2023-11-18	0	NM
177	2023-11-19	0	NM
187	2023-10-21	1	NM
187	2023-10-22	0	NM
187	2023-10-23	1	NM
187	2023-10-24	0	NM
187	2023-10-25	1	NM
187	2023-10-26	2	NM
187	2023-10-27	0	NM
187	2023-10-28	0	NM
187	2023-10-29	2	NM
187	2023-10-30	1	NM
187	2023-10-31	0	NM
187	2023-11-01	3	NM
187	2023-11-02	1	NM
187	2023-11-03	0	NM
187	2023-11-04	0	NM
187	2023-11-05	0	NM
187	2023-11-06	1	NM
187	2023-11-07	1	NM
187	2023-11-08	1	NM
187	2023-11-09	1	NM
187	2023-11-10	1	NM
187	2023-11-11	1	NM
187	2023-11-12	0	NM
187	2023-11-13	1	NM
187	2023-11-14	1	NM
187	2023-11-15	0	NM
187	2023-11-16	1	NM
187	2023-11-17	0	NM
187	2023-11-18	1	NM
187	2023-11-19	0	NM
194	2023-10-21	3	NM
194	2023-10-22	0	NM
194	2023-10-23	0	NM
194	2023-10-24	2	NM
194	2023-10-25	1	NM
194	2023-10-26	0	NM
194	2023-10-27	0	NM
194	2023-10-28	0	NM
194	2023-10-29	1	NM
194	2023-10-30	1	NM
194	2023-10-31	0	NM
194	2023-11-01	0	NM
194	2023-11-02	0	NM
194	2023-11-03	2	NM
194	2023-11-04	0	NM
194	2023-11-05	3	NM
194	2023-11-06	1	NM
194	2023-11-07	1	NM
194	2023-11-08	1	NM
194	2023-11-09	2	NM
194	2023-11-10	4	NM
194	2023-11-11	1	NM
194	2023-11-12	0	NM
194	2023-11-13	2	NM
194	2023-11-14	0	NM
194	2023-11-15	1	NM
194	2023-11-16	1	NM
194	2023-11-17	2	NM
194	2023-11-18	2	NM
194	2023-11-19	0	NM
202	2023-10-21	2	NM
202	2023-10-22	3	NM
202	2023-10-23	0	NM
202	2023-10-24	0	NM
202	2023-10-25	3	NM
202	2023-10-26	0	NM
202	2023-10-27	0	NM
202	2023-10-28	1	NM
202	2023-10-29	0	NM
202	2023-10-30	0	NM
202	2023-10-31	2	NM
202	2023-11-01	0	NM
202	2023-11-02	1	NM
202	2023-11-03	0	NM
202	2023-11-04	0	NM
202	2023-11-05	1	NM
202	2023-11-06	0	NM
202	2023-11-07	0	NM
202	2023-11-08	1	NM
202	2023-11-09	2	NM
202	2023-11-10	0	NM
202	2023-11-11	3	NM
202	2023-11-12	1	NM
202	2023-11-13	0	NM
202	2023-11-14	0	NM
202	2023-11-15	0	NM
202	2023-11-16	0	NM
202	2023-11-17	0	NM
202	2023-11-18	2	NM
