disease	state_abb	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
ARI	AK	12.0562158901054	15.2254952509124	18.3947746117194	21.5640539725264
ARI	AL	13.3145273822061	18.6609335996544	24.0073398171027	29.353746034551
ARI	AR	10.0168024580592	13.0363409900435	16.0558795220279	19.0754180540123
ARI	AZ	11.1816823912637	14.9676206580305	18.7535589247973	22.5394971915641
ARI	CA	10.6019933553344	13.4590243675653	16.3160553797962	19.1730863920272
ARI	CO	11.8973085091925	15.2474547828784	18.5976010565643	21.9477473302502
ARI	CT	12.6606874494535	16.8792365173227	21.0977855851919	25.3163346530611
ARI	DC	11.536840979702	14.5987854952662	17.6607300108305	20.7226745263947
ARI	DE	10.4670784785049	13.9500803144701	17.4330821504354	20.9160839864006
ARI	FL	13.0936902543545	15.626115324431	18.1585403945074	20.6909654645839
ARI	GA	9.1065623666775	12.3152745679523	15.523986769227	18.7326989705018
ARI	HI	14.9202238000999	17.0703109627762	19.2203981254524	21.3704852881287
ARI	IA	11.181210044411	14.6059389486521	18.0306678528933	21.4553967571345
ARI	ID	9.32629631001013	12.4898617527538	15.6534271954974	18.816992638241
ARI	IL	10.2485964261731	13.4768033642373	16.7050103023015	19.9332172403657
ARI	IN	10.708728391529	14.6440337020912	18.5793390126534	22.5146443232156
ARI	KS	10.2273842967635	14.230001848832	18.2326194009005	22.235236952969
ARI	KY	12.6598907836332	17.5844479776431	22.509005171653	27.433562365663
ARI	LA	11.0663793690675	14.671853033126	18.2773266971845	21.882800361243
ARI	MA	10.2273573008985	13.4477422555425	16.6681272101866	19.8885121648306
ARI	MD	9.58031832348415	13.1965362295814	16.8127541356788	20.4289720417761
ARI	ME	10.5201837326451	13.8573226008655	17.1944614690859	20.5316003373064
ARI	MI	9.61246695393481	12.8578985649139	16.103330175893	19.3487617868721
ARI	MN	10.9932555144254	14.6540714879752	18.314887461525	21.9757034350748
ARI	MO	10.2997950215916	13.7606203432049	17.2214456648182	20.6822709864315
ARI	MS	11.5032832093004	15.5107063074802	19.5181294056599	23.5255525038397
ARI	MT	9.88327004538679	13.7084918208982	17.5337135964096	21.358935371921
ARI	NC	12.389365597593	17.5121615260959	22.6349574545987	27.7577533831015
ARI	ND	8.31174580943719	11.0293340484359	13.7469222874346	16.4645105264334
ARI	NE	7.90689638196022	10.4328127846179	12.9587291872755	15.4846455899332
ARI	NH	10.3271979707713	13.8517353746061	17.3762727784409	20.9008101822757
ARI	NJ	9.6994964760056	13.186408865529	16.6733212550525	20.1602336445759
ARI	NM	12.5222288637418	16.9752635126805	21.4282981616193	25.881332810558
ARI	NV	11.8875973491118	15.4906215592345	19.0936457693571	22.6966699794798
ARI	NY	9.14784987785857	12.4346044533678	15.7213590288771	19.0081136043864
ARI	OH	10.1721756636836	13.5662391369581	16.9603026102325	20.354366083507
ARI	OK	10.3553042141815	15.5904489576347	20.8255937010879	26.0607384445411
ARI	OR	9.3132137033683	12.4985094325302	15.6838051616921	18.869100890854
ARI	PA	8.18582822150026	11.2555162995481	14.325204377596	17.3948924556438
ARI	RI	8.50584443454628	11.9572754670055	15.4087064994646	18.8601375319238
ARI	SC	11.3735127207736	16.2649000043796	21.1562872879855	26.0476745715915
ARI	SD	9.38851920375531	12.6910835671412	15.993647930527	19.2962122939129
ARI	TN	11.0061943883788	15.1069835015889	19.207772614799	23.308561728009
ARI	TX	12.4137085679051	16.026328691237	19.6389488145689	23.2515689379008
ARI	US	10.7763348538197	14.1255990611306	17.4748632684414	20.8241274757523
ARI	UT	9.83917116800113	14.0038482924471	18.168525416893	22.333202541339
ARI	VA	12.2459807446004	16.8392656587668	21.4325505729331	26.0258354870995
ARI	VT	10.8942017460662	14.9369556573758	18.9797095686853	23.0224634799948
ARI	WA	11.393353201219	14.31071833765	17.228083474081	20.145448610512
ARI	WI	11.9437499545125	15.9132533810678	19.8827568076231	23.8522602341785
ARI	WV	13.0916877316975	17.2379933542462	21.3842989767948	25.5306045993435
ARI	WY	9.97789937493388	13.1568073519851	16.3357153290364	19.5146233060877
COVID-19	AK	0.344485835839719	1.31352207915009	2.28255832246047	3.25159456577084
COVID-19	AL	0.383908760510704	1.53060401878903	2.67729927706736	3.82399453534569
COVID-19	AR	0.270809578678595	1.08192090392557	1.89303222917254	2.70414355441951
COVID-19	AZ	0.394945284697653	1.05020159251587	1.70545790033408	2.3607142081523
COVID-19	CA	0.259145148144175	0.901390365709095	1.54363558327401	2.18588080083893
COVID-19	CO	0.324045603611388	0.930833245770742	1.5376208879301	2.14440853008945
COVID-19	CT	0.40221040346314	1.52329636532358	2.64438232718403	3.76546828904447
COVID-19	DC	0.352584788022565	0.961877089622047	1.57116939122153	2.18046169282101
COVID-19	DE	0.343608181189625	1.33111916838927	2.31863015558892	3.30614114278857
COVID-19	FL	0.574890049618957	1.55093748331089	2.52698491700283	3.50303235069477
COVID-19	GA	0.257330401133925	1.00495073046816	1.7525710598024	2.50019138913664
COVID-19	HI	0.463381715053227	1.61643716169889	2.76949260834455	3.92254805499021
COVID-19	IA	0.365978926199177	1.69192451295177	3.01787009970436	4.34381568645696
COVID-19	ID	0.360857968533764	1.14822623578713	1.93559450304049	2.72296277029385
COVID-19	IL	0.340313807373033	1.34356109373881	2.34680838010458	3.35005566647036
COVID-19	IN	0.264930801089934	1.24186227563056	2.21879375017119	3.19572522471182
COVID-19	KS	0.227271312313986	1.07352752434553	1.91978373637708	2.76603994840863
COVID-19	KY	0.438925240791425	1.41668934006841	2.3944534393454	3.37221753862239
COVID-19	LA	0.437822959343186	1.38305549831194	2.3282880372807	3.27352057624946
COVID-19	MA	0.392006302226945	1.3974562293918	2.40290615655665	3.4083560837215
COVID-19	MD	0.411235119291244	1.25284572825352	2.0944563372158	2.93606694617807
COVID-19	ME	0.311297476117783	1.47685403074274	2.64241058536769	3.80796713999265
COVID-19	MI	0.277170755898366	1.40538445182846	2.53359814775855	3.66181184368864
COVID-19	MN	0.374939326250506	1.41877793422102	2.46261654219154	3.50645515016205
COVID-19	MO	0.258685133945103	1.27088490900853	2.28308468407196	3.29528445913539
COVID-19	MS	0.394216405649159	1.41237287576361	2.43052934587807	3.44868581599252
COVID-19	MT	0.332974411655367	1.02158651234893	1.7101986130425	2.39881071373607
COVID-19	NC	0.419576767388697	1.30823954015596	2.19690231292323	3.0855650856905
COVID-19	ND	0.218539802088274	1.01778613010502	1.81703245812176	2.61627878613851
COVID-19	NE	0.172101454349106	0.937603006883683	1.7031045594182599	2.46860611195284
COVID-19	NH	0.314927590357133	1.29700549405277	2.27908339774842	3.26116130144406
