disease	state_abb	hhs_region	total_population	unit	level_low	level_moderate	level_high	level_very_high
COVID-19	AK	NA	711711	count	15	22	40	50.8999999999999
COVID-19	AK	NA	711711	rate	2.1075970443059	3.09114233164866	5.62025878481574	7.15177930367803
COVID-19	AL	NA	5097361	count	143	227	476	655.949999999996
COVID-19	AL	NA	5097361	rate	2.8053732117462302	4.45328474871605	9.33816537616229	12.8684234842303
COVID-19	AR	NA	3063976	count	75.9999999999999	118	285.5	437.999999999998
COVID-19	AR	NA	3063976	rate	2.48043718358107	3.85120510082324	9.31795810411047	14.295151136954
COVID-19	AS	NA	NA	count	NA	NA	NA	NA
COVID-19	AS	NA	NA	rate	3.06050315141752	4.11200039537862	7.44272071563531	13.0942736399979
COVID-19	AZ	NA	7414046	count	178.999999999999	317	692.5	1155.55
COVID-19	AZ	NA	7414046	rate	2.41433624771143	4.27566810348897	9.34037905888363	15.5859567097371
COVID-19	CA	NA	38828183	count	1144	1694	3015	4996.29999999998
COVID-19	CA	NA	38828183	rate	2.94631350635181	4.36281038440557	7.76497834060378	12.8677151851272
COVID-19	CO	NA	5843317	count	97.9999999999995	172.999999999999	471	740.399999999995
COVID-19	CO	NA	5843317	rate	1.67712961662014	2.96064718036005	8.06049030028663	12.6708853892403
COVID-19	CT	NA	3612324	count	101	183	475.499999999999	771.699999999997
COVID-19	CT	NA	3612324	rate	2.79598397043011	5.06599075830407	13.1632710687081	21.3629785146625
COVID-19	DC	NA	675779	count	23	37.9999999999999	73.9999999999995	154.899999999999
COVID-19	DC	NA	675779	rate	3.40347953990875	5.62314010941446	10.9503254762281	22.9216948144289
COVID-19	DE	NA	1028442	count	27	48.9999999999999	101	148.549999999999
COVID-19	DE	NA	1028442	rate	2.62533035406955	4.76448842034844	9.82068021337129	14.4441786702604
COVID-19	FL	NA	22550792	count	741	1105	2106.5	3593.2
COVID-19	FL	NA	22550792	rate	3.28591563435998	4.90004963018593	9.34113533573454	15.9338084445105
COVID-19	GA	NA	10972367	count	223	373	1077	1711.64999999999
COVID-19	GA	NA	10972367	rate	2.03237824618881	3.39944881537411	9.81556668675045	15.5996422649734
COVID-19	GU	NA	NA	count	NA	NA	NA	NA
COVID-19	GU	NA	NA	rate	1.30008580566317	1.95012870849476	5.20034322265269	9.7506435424738
COVID-19	HI	NA	1394885	count	40.9999999999999	89	121	143.799999999999
COVID-19	HI	NA	1394885	rate	2.93931040910182	6.38045430268445	8.67455023173953	10.3090935811912
COVID-19	IA	NA	3206712	count	55	116	239.5	417.699999999998
COVID-19	IA	NA	3206712	rate	1.715152467699	3.6174124773288	7.4687093820711	13.0258033774158
COVID-19	ID	NA	1961207	count	29.9999999999999	54.9999999999998	129	181.15
COVID-19	ID	NA	1961207	rate	1.52967024898442	2.80439545647144	6.57758207063303	9.23665885345095
COVID-19	IL	NA	12532834	count	308	582	1270	2017.89999999999
COVID-19	IL	NA	12532834	rate	2.45754471813797	4.64380203232565	10.1333824416728	16.10090742445
COVID-19	IN	NA	6861130	count	156	315	587	966.899999999997
COVID-19	IN	NA	6861130	rate	2.27367795100807	4.59108047799706	8.55544203360088	14.0924308386519
COVID-19	KS	NA	2920111	count	54.9999999999998	121	285	391.7
COVID-19	KS	NA	2920111	rate	1.88349004541265	4.14367809990784	9.75990296259286	13.4138736506934
COVID-19	KY	NA	4509410	count	107	208	438	615.249999999996
COVID-19	KY	NA	4509410	rate	2.37281595596763	4.61257681160063	9.71302232442825	13.6436917468138
COVID-19	LA	NA	4559054	count	128	179	405.5	595.299999999998
COVID-19	LA	NA	4559054	rate	2.80759999771882	3.92625312180991	8.8943890552733	13.0575334268907
COVID-19	MA	NA	6998033	count	216.2	421.399999999999	868.399999999999	1371.34
COVID-19	MA	NA	6998033	rate	3.08943956108809	6.02169209547882	12.4092012712715	19.5960779264687
COVID-19	MD	NA	6149174	count	99.9999999999998	186.999999999999	440.5	753.399999999996
COVID-19	MD	NA	6149174	rate	1.62623467802342	3.04105884790379	7.16356375669317	12.2520520642284
COVID-19	ME	NA	1395065	count	16.9999999999999	40.9999999999999	103	152.899999999999
COVID-19	ME	NA	1395065	rate	1.21858121306175	2.93893116091364	7.3831685261977	10.960062792773
COVID-19	MI	NA	10035357	count	330	560.999999999999	975.499999999999	1243.89999999999
COVID-19	MI	NA	10035357	rate	3.28837329852839	5.59023460749826	9.72063076580135	12.3951743819377
COVID-19	MN	NA	5737303	count	109	209	491.5	572.93
COVID-19	MN	NA	5737303	rate	1.89984736730829	3.64282660337095	8.56674294524796	9.98605093717379
COVID-19	MO	NA	6181402	count	122	286	574	892.199999999997
COVID-19	MO	NA	6181402	rate	1.97366228567564	4.6267820795347	9.28591927850672	14.433618780982
COVID-19	MP	NA	NA	count	NA	NA	NA	NA
COVID-19	MP	NA	NA	rate	3.06050315141752	4.11200039537862	7.44272071563531	13.0942736399979
COVID-19	MS	NA	2927069	count	53.9999999999999	83.9999999999999	186.5	410.599999999998
COVID-19	MS	NA	2927069	rate	1.84484889150204	2.86976494233651	6.37156144935428	14.0276843490877
COVID-19	MT	NA	1129482	count	23	43	114.5	151.149999999999
COVID-19	MT	NA	1129482	rate	2.0363316989558	3.80705491543911	10.1373904143669	13.3822407085725
COVID-19	NC	NA	10735800	count	213.999999999999	392	708.999999999999	1450.29999999999
COVID-19	NC	NA	10735800	rate	1.99333072523705	3.65133478641554	6.60407235604239	13.5090072467817
COVID-19	ND	NA	776725	count	14.9999999999999	29.9999999999999	70	96.3499999999994
COVID-19	ND	NA	776725	rate	1.93118542598731	3.86237085197463	9.01219865460748	12.4046477195918
COVID-19	NE	NA	1971915	count	34	71	188	277.899999999999
COVID-19	NE	NA	1971915	rate	1.72421225052804	3.60056087610267	9.53387950291975	14.0928995418159
COVID-19	NH	NA	1401507	count	29	53.9999999999999	125.5	182.45
COVID-19	NH	NA	1401507	rate	2.0692012241109	3.85299538282719	8.9546466767558	13.0181297703115
COVID-19	NJ	NA	9283473	count	269	412	1134.49999999999	1600.6
COVID-19	NJ	NA	9283473	rate	2.89762247383064	4.43799427218671	12.22064199465	17.2413923108302
COVID-19	NM	NA	2100958	count	37	71.9999999999998	147	221.999999999999
COVID-19	NM	NA	2100958	rate	1.76110136423479	3.42700806013256	6.99680812277066	10.5666081854087
COVID-19	NV	NA	3182045	count	53	90.9999999999999	220.5	415.499999999997
COVID-19	NV	NA	3182045	rate	1.66559555254561	2.85979613738963	6.92950602521334	13.0576406053339
COVID-19	NY	NA	19551916	count	544.999999999998	831.999999999998	2561.99999999999	3634.59999999999
COVID-19	NY	NA	19551916	rate	2.7874506007493	4.25533743086866	13.1035751176508	18.5894824834558
COVID-19	OH	NA	11779411	count	276.999999999999	538.999999999999	1281.99999999999	1820.99999999999
COVID-19	OH	NA	11779411	rate	2.35156070197397	4.57578057171109	10.8833964618434	15.4591770335545
COVID-19	OK	NA	4035489	count	77.9999999999999	166	357	488.349999999996
COVID-19	OK	NA	4035489	rate	1.93285126040487	4.11350396445139	8.84651153800691	12.1013835002399
COVID-19	OR	NA	4231939	count	81.9999999999997	131	271	371.599999999999
COVID-19	OR	NA	4231939	rate	1.93764607665658	3.09550775660991	6.40368398504798	8.78084490348276
COVID-19	PA	NA	12958943	count	437.999999999999	748.999999999999	1434.99999999999	1810.49999999999
COVID-19	PA	NA	12958943	rate	3.37990529011509	5.7797923796717	11.0734339984364	13.9710468670168
COVID-19	PR	NA	3285874	count	83	114	186.5	260.45
COVID-19	PR	NA	3285874	rate	2.52596417269804	3.46939657454911	5.67581106274921	7.9263538407133
COVID-19	RI	NA	1092402	count	25.9999999999999	42	91.9999999999999	138.349999999999
COVID-19	RI	NA	1092402	rate	2.38007619905492	3.84473847539642	8.42180808896358	12.6647516207403
COVID-19	SC	NA	5335324	count	112	187	398	701.699999999995
COVID-19	SC	NA	5335324	rate	2.09921646745352	3.50494178048043	7.45971566112948	13.1519660286797
COVID-19	SD	NA	916006	count	17	41	86.9999999999999	127.9
COVID-19	SD	NA	916006	rate	1.85588304006742	4.47595321428025	9.49775438152151	13.9627906367425
COVID-19	TN	NA	7106807	count	144	246	484.5	741.049999999994
COVID-19	TN	NA	7106807	rate	2.02622640519153	3.46147010886886	6.81740759246733	10.4273269275498
COVID-19	TX	NA	30391114	count	633	1092	2253.5	3741.39999999999
COVID-19	TX	NA	30391114	rate	2.08284566337384	3.59315555198141	7.41499637032061	12.3108353316696
COVID-19	US	NA	NA	count	NA	NA	NA	NA
COVID-19	US	NA	NA	rate	2.42434745541504	4.04452979301092	8.13202345561793	12.6382815106397
COVID-19	UT	NA	3413293	count	58.9999999999998	86.9999999999998	199	283.6
COVID-19	UT	NA	3413293	rate	1.72853605008418	2.54885824334447	5.83014701638564	8.30869192887923
COVID-19	VA	NA	8615980	count	173	301	640.5	1128.99999999999
COVID-19	VA	NA	8615980	rate	2.00789695426405	3.49350857360393	7.43386126708743	13.1035587362087
COVID-19	VI	NA	106405	count	2.83282954261537	4.41102595446868	12.5380771422865	17.5797213282698
COVID-19	VI	NA	106405	rate	2.66230867216331	4.14550627740114	11.7833533596039	16.5215180943281
COVID-19	VT	NA	647315	count	9.99999999999996	21.9999999999999	47	64.9
COVID-19	VT	NA	647315	rate	1.54484292809528	3.39865444180962	7.26076176204784	10.0260306033384
COVID-19	WA	NA	7764081	count	161	248	388.5	478.499999999999
COVID-19	WA	NA	7764081	rate	2.07365173032069	3.19419645415858	5.00381178403471	6.16299598110838
COVID-19	WI	NA	5909578	count	146	253	531.5	736.549999999996
COVID-19	WI	NA	5909578	rate	2.47056558014802	4.28118556011952	8.99387401266215	12.4636649182056
COVID-19	WV	NA	1769881	count	48.9999999999999	109	203	346.499999999999
COVID-19	WV	NA	1769881	rate	2.76854771591988	6.15860614357688	11.4696976802395	19.5775874197191
COVID-19	WY	NA	581296	count	14.9999999999999	23	47	72.3499999999993
COVID-19	WY	NA	581296	rate	2.5804409457488	3.95667611681484	8.08538163001293	12.4463268283283
Influenza	AK	Region 10	711711	count	7.37872864958306	16.9156774545872	60.2547980985442	85.0937130623381
Influenza	AK	Region 10	711711	rate	1.03675911283977	2.37676212038134	8.46618895851605	11.9562172092799
Influenza	AL	Region 4	5097361	count	60.4729561069846	151.141632397658	411.197587018476	709.069957873645
Influenza	AL	Region 4	5097361	rate	1.18635811956392	2.96509571124466	8.06687199549876	13.9105305249843
Influenza	AR	Region 6	3063976	count	50.5486643905028	122.338925885505	294.57287466971	446.196483863559
Influenza	AR	Region 6	3063976	rate	1.64977350966531	3.99281606270756	9.61407252111994	14.5626624968198
Influenza	AZ	Region 9	7414046	count	74.2409461238346	222.037075828755	523.13498743374	1012.05798468065
Influenza	AZ	Region 9	7414046	rate	1.00135534799534	2.99481653915763	7.05599867378406	13.6505490346385
Influenza	CA	Region 9	38828183	count	388.808086999918	1162.83284633839	2739.71607753445	5300.26015967417
Influenza	CA	Region 9	38828183	rate	1.00135534799534	2.99481653915763	7.05599867378406	13.6505490346385
Influenza	CO	Region 8	5843317	count	93.7333061374777	212.193334408714	357.628614186069	493.394237140752
Influenza	CO	Region 8	5843317	rate	1.6041112631315	3.63138495496161	6.12030143471711	8.44373558957613
Influenza	CT	Region 1	3612324	count	91.7330494361938	230.832359247458	456.988807197138	775.149600677484
Influenza	CT	Region 1	3612324	rate	2.53944688893338	6.39013441893524	12.6508255404869	21.4584738433619
Influenza	DC	Region 3	675779	count	9.57493811166272	29.3942856588233	57.6967032626899	131.606233517913
Influenza	DC	Region 3	675779	rate	1.41687417212768	4.34968912304515	8.53780648151095	19.4747444827249
Influenza	DE	Region 3	1028442	count	14.5717290733134	44.734029810828	87.8063877345809	200.286451653026
Influenza	DE	Region 3	1028442	rate	1.41687417212768	4.34968912304515	8.53780648151095	19.4747444827249
Influenza	FL	Region 4	22550792	count	267.533151917971	668.652566443704	1819.14352461117	3136.93480478572
Influenza	FL	Region 4	22550792	rate	1.18635811956392	2.96509571124466	8.06687199549876	13.9105305249843
Influenza	GA	Region 4	10972367	count	130.171566812852	325.341183339024	885.126800766347	1526.3144608483
Influenza	GA	Region 4	10972367	rate	1.18635811956392	2.96509571124466	8.06687199549876	13.9105305249843
